#gi	CAI	CAI_Alm	CBI	COG	COGanno	COGfun	Annotation
162359	1.57995365595681	3.0849186591309	1.03899435219538	-	-	-	unknown protein
162360	1.56761946667719	3.4112590646997	1.15652609086413	-	-	-	unknown protein
162361	1.72774261763287	3.49917370765077	1.08910794757643	224	F0F1-type ATP synthase, gamma subunit	C	ATP synthase subunit gamma
162362	1.65423659148676	3.21094348205468	0.931720730941281	56	F0F1-type ATP synthase, alpha subunit	C	ATP synthase subunit alpha
162363	1.80438234887089	3.57729946718225	1.07302411274067	712	F0F1-type ATP synthase, delta subunit (mitochondrial oligomycin sensitivity protein)	C	ATP synthase subunit delta
162364	1.63213465355627	3.1048752383471	1.0173106107504	711	F0F1-type ATP synthase, subunit b	C	ATP synthase subunit b
162365	1.64812303111657	3.04609403146825	1.06479789800002	711	F0F1-type ATP synthase, subunit b	C	ATP synthase subunit b
162366	1.51946064226166	3.16546466117911	1.0739636328158	636	F0F1-type ATP synthase, subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K	C	ATP synthase subunit c
162367	1.77638575356868	3.41234223388889	1.0784028390075	356	F0F1-type ATP synthase, subunit a	C	ATP synthase subunit a
162368	1.85003697333723	3.69799384586192	1.12060995186836	-	-	-	ATP synthase subunit 1
162369	1.60161142627243	3.02224886353541	1.03989729552822	500	SAM-dependent methyltransferases	QR	hypothetical protein
162370	1.38420777843908	2.73347551772716	0.967723396654805	-	-	-	unknown protein
162371	1.33620192917256	2.30299150323706	0.781120709985566	-	-	-	unknown protein
162372	1.62264691879167	3.2576699173866	1.08577576794926	3293	Transposase and inactivated derivatives	L	transposase
162373	1.65080969231686	3.3377615460427	1.0627773284472	3293	Transposase and inactivated derivatives	L	transposase
162374	1.36950723408692	2.41546913025345	0.791306927392301	-	-	-	unknown protein
162375	1.54989906655441	2.82170861351591	0.965806122596229	3415	Transposase and inactivated derivatives	L	transposase
162376	1.38533913890285	2.59299483219907	0.929059947003351	3335	Transposase and inactivated derivatives	L	transposase
162377	1.68415771759195	3.30472583322408	1.036940954562	-	-	-	phycobilisome core-membrane linker protein
162378	1.72109186954498	3.45416322364551	0.925148022136053	-	-	-	allophycocyanin alpha subunit
162379	1.64337161760419	3.31491706626317	0.90513061093902	-	-	-	allophycocyanin beta subunit
162380	1.67039218521377	3.27008072626829	1.05655351493567	-	-	-	phycobilisome core linker protein Lc7.8
162381	1.70843778861024	3.20521961334732	1.0392787474152	2912	Uncharacterized conserved protein	S	hypothetical protein
162382	1.65975422934153	3.28713205989842	1.00434330568083	-	-	-	hypothetical protein
162383	1.824112408069	3.4274434677515	1.05176184853284	-	-	-	unknown protein
162384	1.92504749353512	3.8922103552461	1.13230891024896	-	-	-	unknown protein
162385	1.71616241696271	3.23609130589253	1.04973057090496	-	-	-	unknown protein
162386	1.60699971481785	3.13608924087022	1.08582867286627	2319	FOG: WD40 repeat	R	WD-40 repeat protein
162387	1.50022611930306	2.7536744928709	0.975759677820858	1032	Fe-S oxidoreductase	C	similar to Mg-protoporphyrin IX monomethyl ester oxidative cyclase
162388	1.58674837510864	2.84159744237668	0.965377272534929	297	Glycogen synthase	G	glycogen (starch) synthase
162389	1.46839663102352	2.7910253833485	0.986761425430148	1169	Isochorismate synthase	HQ	isochorismate synthase
162390	1.66072466391066	3.22477481496742	1.06028646856374	1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase	H	DHNA phythltransferase
162391	1.62090053066266	3.12894762121719	1.04276245906627	4948	L-alanine-DL-glutamate epimerase and related enzymes of enolase superfamily	MR	O-succinylbenzoic acid synthase
162392	1.57761122954368	2.98184852171599	0.986018338946363	318	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II	IQ	O-succinylbenzoyl-CoA synthetase
162393	1.66779015897629	3.35000514680096	1.1003191443675	770	UDP-N-acetylmuramyl pentapeptide synthase	M	UDP-N-acetylmuramoylalanyl-D-glutamyl-2, 6-diaminopimelate--D-alanyl-D-alanine ligase
162394	1.52563720975332	3.00600485165132	1.04788337711954	-	-	-	unknown protein
162395	1.60221517733474	3.01380746475817	0.995912009149982	1088	dTDP-D-glucose 4,6-dehydratase	M	dTDP-glucose 4-6-dehydratase
162396	1.58443504769216	2.98462360944495	1.00808610907246	596	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)	R	putative hydrolase
162397	1.62624480727266	3.26980506966743	1.10598818847346	-	-	-	unknown protein
162398	1.78309495457286	3.72944307123709	1.16546611707737	392	Predicted integral membrane protein	S	hypothetical protein
162399	1.6689873196248	3.37595793846353	1.10997268837667	463	Glycosyltransferases involved in cell wall biogenesis	M	hypothetical protein
162400	1.66046036386004	3.25990458579643	1.09490854833971	-	-	-	hypothetical protein
162401	1.6341083611282	3.06500315746025	0.971093304249509	-	-	-	hypothetical protein
162402	1.60507038999269	2.99639889024917	0.935468581002807	1141	Ferredoxin	C	hypothetical protein
162403	1.42181491137669	2.84493742297137	0.986862318706999	4298	Uncharacterized protein conserved in bacteria	S	hypothetical protein
162404	1.54925949612604	3.2339645639284	1.12923543500086	-	-	-	hypothetical protein
162405	2.00295156686416	3.92158896221195	1.12959368637057	-	-	-	hypothetical protein
162406	1.58812668467714	3.13362993759366	1.05063539583332	1193	Mismatch repair ATPase (MutS family)	L	DNA mismatch repair protein
162407	1.45127459759121	2.8298211833027	0.985276378698224	-	-	-	unknown protein
162408	1.53923222411131	3.10430642796104	1.04859719472304	516	IMP dehydrogenase/GMP reductase	F	IMP dehydrogenase
162409	1.57899056521114	3.07236444547521	1.04936961154553	526	Thiol-disulfide isomerase and thioredoxins	OC	thioredoxin
162410	1.61640525916611	3.0821162173038	1.04015672167245	1611	Predicted Rossmann fold nucleotide-binding protein	R	hypothetical protein
162411	1.67333867994516	3.34310550594109	1.10240280041003	2027	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 4)	M	hypothetical protein
162412	1.62013462219979	3.25636531086974	1.13787885459489	5305	Predicted membrane protein	S	hypothetical protein
162413	1.65608701141189	3.18711222521281	1.03127391034723	3805	Aromatic ring-cleaving dioxygenase	Q	similar to DOPA-dioxygenase
162414	1.56753369625004	2.88339395376887	1.05453428144097	-	-	-	unknown protein
162415	1.56006867494533	2.98459707009786	1.02602637863212	1052	Lactate dehydrogenase and related dehydrogenases	CHR	D-lactate dehydrogenase
162416	1.53410942078685	2.9891193999463	1.06921428968594	3206	Uncharacterized protein involved in exopolysaccharide biosynthesis	M	hypothetical protein
162417	1.53789348183342	2.78353085281103	0.977752615753451	2343	Uncharacterized protein conserved in bacteria	S	hypothetical protein
162418	1.4048515952092	2.61505390159358	0.886638389521685	338	Site-specific DNA methylase	L	site-specific DNA-methyltransferase
162419	1.79919668370605	3.55192138767655	1.12058347552354	-	-	-	hypothetical protein
162420	1.55630824398391	3.22294795931323	1.05263468521493	858	Ribosome-binding factor A	J	ribosome binding facror A
162421	1.80938042435482	3.38755794748702	1.0482220374452	-	-	-	hypothetical protein
162422	1.68932671006296	3.42112499004465	1.10098564724689	-	-	-	hypothetical protein
162423	1.50507428633856	2.90847265778761	0.989930986636705	717	Deoxycytidine deaminase	F	dCTP deaminase
162424	1.57363528310111	3.04005804253057	1.00852091063085	2109	ATP:corrinoid adenosyltransferase	H	cob(I)alamin adenosyltransferase
162425	1.65949429689811	3.33150518020246	1.07553134841547	563	Adenylate kinase and related kinases	F	adenylate kinase
162426	1.56230802981569	3.11460842259528	1.04828556712103	689	RNase PH	J	ribonuclease PH
162427	1.55549944431509	2.97894700987729	1.02348845384381	605	Superoxide dismutase	P	superoxide dismutase
162428	1.51993752524268	2.87011728216125	0.982930647449391	-	-	-	unknown protein
162429	1.67368956610086	3.33430765826915	1.0933133174362	745	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	TK	two-component response regulator
162430	1.528548797146	2.98465571658347	0.99807109681746	546	Predicted phosphatases	R	imidazoleglycerol-phosphate dehydratase
162431	1.56722471806189	2.9807189313451	1.02153458698779	463	Glycosyltransferases involved in cell wall biogenesis	M	putative glycosyl transferase
162432	1.58336345795458	3.1206710376208	1.10197231985819	4775	Outer membrane protein/protective antigen OMA87	M	hypothetical protein
162433	1.46158687886387	3.0012735938463	1.03480469303232	842	ABC-type multidrug transport system, permease component	V	hypothetical protein
162434	1.34611425659039	2.49615947579616	0.856653410636257	1131	ABC-type multidrug transport system, ATPase component	V	ABC transporter (ATP-binding protein)
162435	1.52402932560889	2.81661880213567	0.948861615911864	-	-	-	unknown protein
162436	1.69015244077896	3.33054902898463	1.11352358052024	657	Esterase/lipase	I	esterase
162437	1.4885675095783	2.7759261789306	0.933417605761403	720	6-pyruvoyl-tetrahydropterin synthase	H	hypothetical protein
162438	1.81678057255296	3.56336400799883	1.12042106662892	-	-	-	unknown protein
162439	1.55603001715626	3.17126422410856	1.0329965970295	1985	Pyrimidine reductase, riboflavin biosynthesis	H	riboflavin biosynthesis protein
162440	1.67261671537193	2.96624016076156	0.970207960498155	-	-	-	fdxN element excision controlling factor XisH homolog
162441	1.63685822833193	3.00700677242696	0.963683627126634	-	-	-	fdxN element excision controlling factor XisI homolog
162442	1.66002531389418	3.43493191373024	1.12613663209192	2891	Cell shape-determining protein	M	unknown protein
162443	1.5724163010024	3.21294546068475	1.10218808156408	1792	Cell shape-determining protein	M	rod shape-determining protein
162444	1.6287366758555	3.3499563106714	1.10458839527925	1077	Actin-like ATPase involved in cell morphogenesis	D	rod shape-determining protein
162445	1.58595475966613	3.18865776223151	1.06634782310393	629	Single-stranded DNA-binding protein	L	single-stranded DNA-binding protein
162446	1.57535214867568	3.24934108069663	1.08226417444097	2968	Uncharacterized conserved protein	S	hypothetical protein
162447	1.67253662776783	3.22340437999731	1.12393103080097	-	-	-	unknown protein
162448	1.72750368101121	3.55796933370938	1.17862026864534	475	Kef-type K+ transport systems, membrane components	P	Na+/H+-exchanging protein
162449	1.59402398626389	3.36953730972824	1.15182161699047	860	N-acetylmuramoyl-L-alanine amidase	M	N-acetylmuramoyl-L-alanine amidase
162450	1.60211154897746	3.35105613777603	1.15563303293359	860	N-acetylmuramoyl-L-alanine amidase	M	N-acetylmuramoyl-L-alanine amidase
162451	1.64199436964567	3.26849820265896	1.07584300970887	796	Glutamate racemase	M	glutamate racemase
162452	1.40436296684041	2.89638900625849	1.00778248063841	-	-	-	unknown protein
162453	1.73628298210397	3.43044029395092	1.12553236836776	142	Geranylgeranyl pyrophosphate synthase	H	solanesyl diphosphate synthase
162454	1.81735824418177	3.50235340082371	1.09681073315094	-	-	-	unknown protein
162455	1.60939797637272	3.34726464674046	1.10957164281175	-	-	-	unknown protein
162456	1.55295247619142	2.98521125781603	1.02306861606425	-	-	-	unknown protein
162457	1.66228043706091	3.17249758909853	1.09074919646526	-	-	-	unknown protein
162458	1.60678902133102	3.16362645952691	1.08285973230371	-	-	-	unknown protein
162459	1.67332075048958	3.42177621078711	1.15734333281629	-	-	-	unknown protein
162460	1.58055397729927	3.12531644531657	1.08301568258064	1305	Transglutaminase-like enzymes, putative cysteine proteases	E	hypothetical protein
162461	1.48720273543087	2.66711722720149	0.958542368883028	-	-	-	unknown protein
162462	1.63517221013951	3.3472674360551	1.09096520424651	2052	Uncharacterized protein conserved in bacteria	S	hypothetical protein
162463	1.5948550536678	3.12933149098646	1.02813512275553	194	Guanylate kinase	F	guanylate kinase
162464	1.60210419542386	3.26483659812154	1.09058117203336	-	-	-	photosystem I subunit XI
162465	1.81557968041962	3.49736197779341	1.10273285800238	-	-	-	photosystem I subunit IX
162466	1.58957498553063	3.13376625236325	1.03813694224276	-	-	-	photosystem I subunit III precursor
162467	1.76547913425045	3.53535434964896	1.12707939278449	533	Metal-dependent proteases with possible chaperone activity	O	sialoglycoprotease
162468	1.52965756272092	3.03184638855033	1.02784120400312	596	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)	R	esterase
162469	1.71556739155513	3.35567520035543	1.08003471496048	-	-	-	unknown protein
162470	1.52721288673521	3.01451764531987	0.990572665085386	454	Histone acetyltransferase HPA2 and related acetyltransferases	KR	hypothetical protein
162471	1.54682104665578	3.00258468141152	1.0328786917512	-	-	-	hypothetical protein
162472	1.6824878636457	3.3135220736423	1.08574850683784	2890	Methylase of polypeptide chain release factors	J	protoporphyrinogen oxidase
162473	1.54101248922674	3.17176304006722	1.05253717722221	9	Putative translation factor (SUA5)	J	hypothetical protein
162474	1.67062869881725	3.26699569790102	1.1050178429249	642	Signal transduction histidine kinase	T	two-component sensor histidine kinase
162475	1.6594188954382	3.23716699283297	1.04671213424221	454	Histone acetyltransferase HPA2 and related acetyltransferases	KR	hypothetical protein
162476	1.55791065214748	3.04482114026445	1.0288913131394	-	-	-	hypothetical protein
162477	1.71954383149829	3.4001264437017	1.06883296480396	341	Preprotein translocase subunit SecF	U	protein-export membrane protein
162478	1.63762882981003	3.28158613948654	1.1016510844998	342	Preprotein translocase subunit SecD	U	protein-export membrane protein
162479	1.64549781268823	3.18368176510032	1.00280783924177	22	Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta s	C	pyruvate dehydrogenase E1 beta subunit
162480	1.51313283623984	2.81046884672154	0.976835429779253	4636	Uncharacterized protein conserved in cyanobacteria	S	hypothetical protein
162481	1.90635413593774	3.55145075426928	1.08630890944584	4886	Leucine-rich repeat (LRR) protein	S	leucine-rich-repeat protein
162482	1.61037463477333	3.41001806710491	1.06611112215893	1396	Predicted transcriptional regulators	K	transcriptional regulator
162483	1.6516466479414	3.26984383893896	1.09748852735149	1118	ABC-type sulfate/molybdate transport systems, ATPase component	P	ATP-binding protein of sulfate ABC transporter
162484	1.57104524906426	3.00985479249859	1.00313781516137	-	-	-	hypothetical protein
162485	1.60686030612092	3.10679668386613	1.03360556968742	644	Dehydrogenases (flavoproteins)	C	geranylgeranyl hydrogenase
162486	1.76458176804338	3.48662578843982	1.10366028128294	745	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	TK	two-component response regulator
162487	1.56710302802603	3.0102616030582	1.04473006326008	429	Predicted hydrolase of the alpha/beta-hydrolase fold	R	hypothetical protein
