#gi	CAI	CAI_Alm	CBI	COG	COGanno	COGfun	Annotation
369211	1.46899737406462	2.45796274474441	0.823614277509758	1192	ATPases involved in chromosome partitioning	D	ParA/Soj
369212	1.48961441650833	2.36562952857682	0.780021130697907	-	-	-	unique hypothetical
369213	1.49377075319691	2.39689898419058	0.821876876629984	593	ATPase involved in DNA replication initiation	L	DnaA
369214	1.55934249995825	2.6784125776846	0.989770221693045	1132	ABC-type multidrug transport system, ATPase and permease components	V	ABC transporter component
369215	1.44561026098591	2.39032526224135	0.837713408726915	1132	ABC-type multidrug transport system, ATPase and permease components	V	MdlB-like
369216	1.54492357579107	2.57129340827311	0.89843616790329	1132	ABC-type multidrug transport system, ATPase and permease components	V	MdlB-like
369217	1.32191061141459	2.39452514497783	0.972013552308736	-	-	-	RpL34
369218	1.63677149607962	2.6781060697874	0.916621521708739	594	RNase P protein component	J	RnpA
369219	1.60183923838851	2.72932235182809	0.961172398707908	706	Preprotein translocase subunit YidC	U	YidC
369220	1.64966383067058	2.73589784564942	0.89123989538014	30	Dimethyladenosine transferase (rRNA methylation)	J	KsgA
369221	1.58742272964341	2.55577197762867	0.838037785948831	1947	4-diphosphocytidyl-2C-methyl-D-erythritol 2-phosphate synthase	I	conserved hypothetical
369222	1.44435213809224	2.3624167914456	0.82355961524455	18	Arginyl-tRNA synthetase	J	ArgS
369223	1.44149491657072	2.41939535728058	0.832223663438799	2374	Predicted extracellular nuclease	R	MnuA
369224	1.50300644964647	2.54777629832128	0.905429441673976	580	Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family)	G	GlpF
369225	1.45849986573682	2.42813265753513	0.859336125415411	554	Glycerol kinase	C	GlpK
369226	1.53949708459486	2.57048611226082	0.904260920743495	579	Predicted dehydrogenase	R	Glycerol 3-P dehydrogenase
369227	1.52564451099979	2.57593016718928	0.883191059556317	-	-	-	conserved hypothetical lipoprotein
369228	1.54012571570583	2.47749860579513	0.891570569949764	1528	Ferritin-like protein	P	conserved hypothetical
369229	1.61568540755995	2.59805918075359	0.889463387987532	519	GMP synthase, PP-ATPase domain/subunit	F	conserved hypothetical
369230	1.59600902713868	2.6557270284137	0.923808260723584	595	Predicted hydrolase of the metallo-beta-lactamase superfamily	R	predicted hydrolase
369231	1.55819988324871	2.61856856644712	0.922620930182034	-	-	-	conserved hypothetical
369232	1.56556092124263	2.56202154376224	0.8957634880944	1136	ABC-type antimicrobial peptide transport system, ATPase component	V	PhnL
369233	1.49971026018232	2.60248093115979	0.888009142890493	-	-	-	unique hypothetical lipoprotein
369234	1.57263560875504	2.5828754371067	0.910254633514853	245	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	I	conserved hypothetical
369235	1.55661627674529	2.51662281245917	0.847737578699762	634	Hypoxanthine-guanine phosphoribosyltransferase	F	Hpt Hypoxanthine-guanine phosphoribosyltransferase
369236	1.50433965253278	2.55074646610967	0.904904521851877	465	ATP-dependent Zn proteases	O	FtsH
369237	1.59913335655046	2.62643830068785	0.896331257465267	-	-	-	conserved hypothetical
369238	1.48788070789877	2.38409427651768	0.814332669740292	-	-	-	unique hypothetical
369239	1.33688981573303	2.22824695429285	0.892768214745665	1925	Phosphotransferase system, HPr-related proteins	G	FruB
369240	1.47439718845671	2.44457827504122	0.8745766181	21	Transketolase	G	TktA
369241	1.52532073970649	2.48468027781197	0.883643798120261	653	Preprotein translocase subunit SecA (ATPase, RNA helicase)	U	SecA
369242	1.45444722626656	2.44896086812748	0.837661484395043	-	-	-	conserved hypothetical
369243	1.53134764645013	2.58712434926328	0.916008133732306	1525	Micrococcal nuclease (thermonuclease) homologs	L	conserved hypothetical
369244	1.5320093774324	2.4936387046448	0.882026520413139	3839	ABC-type sugar transport systems, ATPase components	G	ABC transporter  ATP-binding protein
369245	1.57018120273887	2.70537660612279	0.939120806959103	1175	ABC-type sugar transport systems, permease components	G	MalF
369246	1.54574870545323	2.63614762852315	0.944939106958581	395	ABC-type sugar transport system, permease component	G	MalG
369247	1.40195159354939	2.26042219495696	0.779847277776962	618	Exopolyphosphatase-related proteins	R	MgpA-like
