#gi	CAI	CAI_Alm	CBI	COG	COGanno	COGfun	Annotation
370327	1.38412046351608	3.44213154010584	1.10098218568151	113	Delta-aminolevulinic acid dehydratase	H	delta-aminolevulinic acid dehydratase
370328	1.26218637708297	3.17814129301377	1.09009003424586	1726	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA	C	NADH:ubiquinone oxidoreductase, alpha subunit, putative
370329	1.27177340717331	3.11315539751261	0.98592819569296	-	-	-	conserved hypothetical protein
370330	1.28996193234399	3.38313181808119	1.14946716720433	1747	Uncharacterized N-terminal domain of the transcription elongation factor GreA	S	transcription elongation protein, GreA/GreB family
370331	1.31776243480576	3.50354444902183	1.17818137518983	1448	Aspartate/tyrosine/aromatic aminotransferase	E	amino acid biosynthesis aminotransferase, class I
370332	1.30269683309571	3.46617457328113	1.17540340258643	1792	Cell shape-determining protein	M	conserved hypothetical protein
370333	1.2578535938029	3.21852935620194	1.09238117583488	1074	ATP-dependent exoDNAse (exonuclease V) beta subunit (contains helicase and exonuclease domains)	L	exodeoxyribonuclease V, beta chain, putative
370334	1.23321650883435	3.20686198273448	1.05924373863195	1330	Exonuclease V gamma subunit	L	exodeoxyribonuclease V, gamma subunit, putative
370335	1.28105580110853	3.38257852961932	1.16133172915874	2814	Arabinose efflux permease	G	conserved hypothetical protein
370336	1.24044054913366	3.25196891208293	1.0777518900898	-	-	-	conserved hypothetical protein
370337	1.17401485316057	2.87010353957528	0.923506265517212	-	-	-	hypothetical protein
370338	1.35235744303682	3.59125495311543	1.22407622880086	550	Topoisomerase IA	L	DNA topoisomerase I
370339	1.30513442181946	3.42055728913129	1.17902611598496	42	tRNA-dihydrouridine synthase	J	NifR3/Smm1 family protein
370340	1.33763417721046	3.60318278405065	1.08631079965526	-	-	-	conserved hypothetical protein
370341	1.33394867053689	3.46267848421209	1.17683623492501	-	-	-	conserved hypothetical protein
370342	1.31951993415366	3.29217655183762	1.07176320353642	-	-	-	conserved hypothetical protein
370343	1.35096227852586	3.37425741874092	1.11719091595021	2849	Uncharacterized protein conserved in bacteria	S	conserved hypothetical protein
370344	1.41001250856332	3.6173197151209	1.10778191712803	212	5-formyltetrahydrofolate cyclo-ligase	H	5-formyltetrahydrofolate cyclo-ligase, putative
370345	1.38303497161027	3.725046903387	1.21011809829043	468	RecA/RadA recombinase	L	recA protein
370346	1.31480174700565	3.22987922986986	1.12225952610211	-	-	-	conserved hypothetical protein
