Taxon	Scaffold	Gene1	Gene2	Consecutive	Sep	Code	Strand1	Strand2	GNScore	GNWithin	GNAll	GNMinus	CAI	CAI.Alm	CBI	COG	COGanno	COGfun	Annotation	nCAI	nCAI.Alm	nCBI	nCOG	nCOGanno	nCOGfun	nAnnotation	MI	HK	CAIdsqr	CAIdxdy	CAIlogpratio	CAIdxdyR	CAIdsqrR	COGsim	N1	N2	forward	forwardplus	sumBias	same	bbfGNScore	bbfGNMinus	bbfGNWithin	bbfGNAll	bbfHK	bbfMI	bbfCAIdxdyR	bbfCAIdsqrR	COGsimClass	cfCOG	pSame
13773	129	181994	181995	1	  -3	Convergent	+	-	 0.000000	0	  0.000000	 -0.07232066	1.335192	2.921130	1.0080980	2419	Uncharacterized conserved protein	S	conserved hypothetical protein	1.442419	3.054999	1.0304610	-	-	-	paREP1	 5.285113e-02	 1	1.149767e-02	 1.042750e-03	-1.155778e-03	-9.842096e-03	7.507564e-01		 2	 1	FALSE	FALSE	  1	FALSE	0.4469764	0.3007156	0.5480306	0.4469764	0.6329203	0.8555544	0.5187177	0.4596276	U	0.4686274	0.5573725
13773	129	181995	181996	1	  44	Same	-	-	 0.000000	0	  0.000000	 -0.07232066	1.442419	3.054999	1.0304610	-	-	-	paREP1	1.377219	3.027830	1.0338433	2355	Zn-dependent dipeptidase, microsomal dipeptidase homolog	E	peptidase, putative	 2.630109e-02	 1	4.251110e-03	 6.656162e-04	 4.228767e-02	-7.006088e-03	3.845332e-01		 1	11	 TRUE	FALSE	  0	 TRUE	0.4469764	0.3007156	0.5480306	0.4469764	0.6329203	0.7172240	0.5194147	0.5154995	U	0.4686274	0.5573725
13773	129	181996	181997	1	 243	Divergent	-	+	 0.000000	0	  0.000000	  0.00000000	1.377219	3.027830	1.0338433	2355	Zn-dependent dipeptidase, microsomal dipeptidase homolog	E	peptidase, putative	1.564707	3.533702	1.1559862	4938	Uncharacterized conserved protein	S	conserved within P. aerophilum	 0.000000e+00	 0	3.515206e-02	-8.405023e-03	-5.890030e-02	-4.820189e-01	1.961719e+00		11	 0	 TRUE	FALSE	 -1	FALSE	0.4469764	0.4914888	0.5480306	0.4469764	0.5091911	0.5078922	0.4082009	0.4087037	U	0.4686274	0.6162291
13773	129	181997	181998	1	 -13	Same	+	+	 0.000000	0	  0.000000	  0.00000000	1.564707	3.533702	1.1559862	4938	Uncharacterized conserved protein	S	conserved within P. aerophilum	1.672620	3.548649	0.9656766	-	-	-	hypothetical protein	 0.000000e+00	 0	1.164519e-02	 2.506830e-02	 4.055232e-01	 7.555479e-01	2.622262e-02		 0	 0	FALSE	FALSE	  0	 TRUE	0.4469764	0.4914888	0.5480306	0.4469764	0.5091911	0.5078922	0.7685196	0.6348800	U	0.4686274	0.6162291
13773	129	181998	181999	1	 173	Convergent	+	-	 0.000000	0	  0.000000	  0.00000000	1.672620	3.548649	0.9656766	-	-	-	hypothetical protein	1.536064	3.277354	1.1431629	-	-	-	hypothetical protein	 0.000000e+00	 0	1.864766e-02	 1.873157e-02	 1.336710e-01	 6.669614e-01	6.492132e-02		 0	 0	FALSE	FALSE	  1	FALSE	0.4469764	0.4914888	0.5480306	0.4469764	0.5091911	0.5078922	0.7426382	0.6191240	U	0.4686274	0.6162291
13773	129	181999	182000	1	  27	Same	-	-	 0.000000	0	  0.000000	  0.00000000	1.536064	3.277354	1.1431629	-	-	-	hypothetical protein	1.317406	2.858902	1.0053560	602	Organic radical activating enzymes	O	coenzyme PQQ synthesis protein, conjectural	 0.000000e+00	 0	4.781143e-02	-1.134484e-02	-8.452485e-02	-6.304743e-01	2.562948e+00		 0	27	 TRUE	FALSE	  0	 TRUE	0.4469764	0.4914888	0.5480306	0.4469764	0.5091911	0.5078922	0.3914780	0.4029661	U	0.4686274	0.6162291
13773	129	182000	182001	1	   1	Same	-	-	 0.000000	0	  0.000000	 -0.07232066	1.317406	2.858902	1.0053560	602	Organic radical activating enzymes	O	coenzyme PQQ synthesis protein, conjectural	1.511417	3.219537	1.0516370	-	-	-	conserved hypothetical protein	 1.054642e-03	 2	3.764022e-02	-8.042404e-03	-1.097376e-01	-5.162830e-01	2.173531e+00		27	 2	 TRUE	FALSE	 -1	 TRUE	0.4469764	0.3007156	0.5480306	0.4469764	0.6838149	0.4709759	0.4034779	0.4062445	U	0.4686274	0.5573725
13773	129	182001	182002	1	 173	Same	-	-	 0.000000	0	  0.000000	  0.00000000	1.511417	3.219537	1.0516370	-	-	-	conserved hypothetical protein	1.429631	3.236087	1.1069659	1695	Predicted transcriptional regulators	K	conserved hypothetical protein	 7.508473e-04	 2	6.688830e-03	-1.306211e-03	-2.481713e-03	-6.898420e-02	4.802713e-01		 2	 2	 TRUE	FALSE	 -2	 TRUE	0.4469764	0.4914888	0.5480306	0.4469764	0.6838149	0.4618072	0.5014305	0.4966064	U	0.4686274	0.6162291
13773	129	182002	182003	1	 216	Same	-	-	 0.000000	0	  0.000000	  0.00000000	1.429631	3.236087	1.1069659	1695	Predicted transcriptional regulators	K	conserved hypothetical protein	1.473642	3.148229	1.0704629	-	-	-	hypothetical protein	 0.000000e+00	 0	1.936975e-03	-4.841842e-04	 1.513100e-02	-3.652649e-02	1.794690e-01		 2	 0	 TRUE	FALSE	 -3	 TRUE	0.4469764	0.4914888	0.5480306	0.4469764	0.5091911	0.5078922	0.5102899	0.5852468	U	0.4686274	0.6162291
13773	129	182003	182004	1	 365	Same	-	-	 0.000000	0	  0.000000	  0.00000000	1.473642	3.148229	1.0704629	-	-	-	hypothetical protein	1.425040	3.500694	1.1367223	-	-	-	hypothetical protein	 0.000000e+00	 0	2.362142e-03	-5.863271e-04	 1.438859e-02	-5.234688e-02	2.264094e-01		 0	 0	 TRUE	FALSE	 -4	 TRUE	0.4469764	0.4914888	0.5480306	0.4469764	0.5091911	0.5078922	0.5060667	0.5722463	U	0.4686274	0.6162291
