ATF	1
19	5
"Type=GenePix ArrayList V1.0"
"BlockCount=16"
"BlockType=0"
"Block1=	2040	17060	130	21	200	21	200"
"Block2=	6630	17060	130	21	200	21	200"
"Block3=	11190	17060	130	21	200	21	200"
"Block4=	15620	17060	130	21	200	21	200"
"Block5=	2040	21510	130	21	200	21	200"
"Block6=	6630	21510	130	21	200	21	200"
"Block7=	11190	21510	130	21	200	21	200"
"Block8=	15620	21510	130	21	200	21	200"
"Block9=	2040	25980	130	21	200	21	200"
"Block10=	6630	25980	130	21	200	21	200"
"Block11=	11190	25980	130	21	200	21	200"
"Block12=	15620	25980	130	21	200	21	200"
"Block13=	2040	30490	130	21	200	21	200"
"Block14=	6630	30490	130	21	200	21	200"
"Block15=	11190	30490	130	21	200	21	200"
"Block16=	15620	30490	130	21	200	21	200"
"Block"	"Row"	"Column"	"ID"	"Name"
1	1	1	RGIAA01	"Rat gene encoding cytoplasmic b"
1	1	2	RGIAA03	"Rat gene encoding cytoplasmic b"
1	1	3	RGIAA05	"TAXREB107  DNA binding protein"
1	1	4	RGIAA07	"Rattus norvegicus liver cytochr"
1	1	5	RGIAA09	"ubiquinol-cytochrome C reductas"
1	1	6	RGIAA11	"DNA polymerase alpha"
1	1	7	RGIAA25	"NP25  neuronal protein"
1	1	8	RGIAA27	"Enolase 1, alpha"
1	1	9	RGIAA29	"Rattus norvegicus P2 mRNA for A"
1	1	10	RGIAA31	"Rattus norvegicus ribosomal pro"
1	1	11	RGIAA33	"Rat mRNA for polyubiquitin (fou"
1	1	12	RGIAA35	"amyloid A4 protein homolog"
1	1	13	RGIAA49	"ESTs, Highly similar to RS19_RA"
1	1	14	RGIAA51	"Rat mRNA for aldehyde reductase"
1	1	15	RGIAA53	"Tenascin-R (Restrictin, janusin"
1	1	16	RGIAA55	"Rat glutathione S-transferase m"
1	1	17	RGIAA57	"CD24 antigen"
1	1	18	RGIAA59	"CD24 antigen"
1	1	19	RGIAA73	"Leukemia-associated  cytosolic"
1	1	20	RGIAA75	"Leukemia-associated  cytosolic"
1	1	21	RGIAA77	"Unknown"
1	2	1	RGIAA79	"Unknown"
1	2	2	RGIAA81	"Unknown"
1	2	3	RGIAA83	"ESTs, Weakly similar to A35981"
1	2	4	RGIAE01	"pyrimidine binding protein"
1	2	5	RGIAE03	"Rattus norvegicus macrophage mi"
